SN,File No,Subject,Vote of Charge,Department,Naration,Proposed Amount,Actual Amount,Status,Remarks,Date Sent,Date Approved,Proposed Amount_num,Actual Amount_num,Stage,Pending Value,Aging Days,Aging Bucket
33,CCTI/ADC 1762   (2026),GRASSROOTS COMMUNITY INTERACTIVE BUSINESS ASSEMBLE,Servicing of Meetings/ Statutory  -: 004/04002/01/777/11009/0000/40807,Admin/HR,REQUEST FOR APPROVAL FOR THE HOSTING OF BUSINESS ROUNDTABLE WITH ORGANISED PRIVATE SECTOR (OPS) IN THE STATE,"₦25,655,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,02/03/26,01/01/70,25655000.0,0.0,MG,25655000.0,46,31–60 days
245,CCTI/AD. 2040   (2026),DATA PROTECTION ACCESS,Office Equipment and Renovation -: 004/4002/02/777/11009/6129/45011,ICT,"REQUEST FOR FUNDS TO PURCHASE DOCUMENT COLLECTION BINS, FIREPROOF STORAGE BOXES AND SHREDDERS IN DEPARTMENTS AND UNITS AT MCCTI","₦14,182,499.00",₦0.00,Awaiting Approval - MEBP,,02/03/26,01/01/70,14182499.0,0.0,MEBP,14182499.0,46,31–60 days
319,CIC/CC 256 IV   (2026),ULTRA MODERN AUTO DEALERS MARKET-MOWO,Imota Industrial Park Development/Gberigbe -: 004/04002/02/777/11009/0939/45022,Trade,RELOCATION OF BUILDING MATERIAL TRADERS FROM ORILE TO AGEMOWO BADAGRY REQUEST FOR APPROVAL FOR THE ISSUANCE OF CERTIFICATE OF OCCUPANCY AND LETTER OF ALLOCATION FOR 10 HECTARES OF LAND,₦0.00,₦0.00,Approved by MG,,02/03/26,12/03/26,0.0,0.0,MG,0.0,46,31–60 days
41,CIC/AD 979,MATTER'S AFFECTING PROCUREMENT,Procurement Unit -: 004/04002/01/706/11009/0000/40531,Procurement,REQUEST FOR APPROVAL/RELEASE OF FUNDS,"₦10,000,000.00","₦8,000,000.00",Approved by DG,,03/02/26,06/03/26,10000000.0,8000000.0,DG,2000000.0,73,60+ days
246,LASCOPA/ICT/019 I,MATTERS AFFECTING ICT UNIT,,LASCOPA,REQUEST FOR APPROVAL FOR THE RELEASE OF FUNDS FOR INFORMATION COMMUNICATION TECHNOLOGY (ict) UNIT EXPENSES FOR THE YEAR 2026,"₦9,307,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,03/02/26,01/01/70,9307000.0,0.0,MG,9307000.0,73,60+ days
272,LASCOPA/ADM/110 I,WORLD CONSUMER RIGHT'S DAY,,LASCOPA,WORLD CONSUMER RIGHT DAY YEAR 2026: A ONE (1) DAY CONFERENCE AND EXHIBITION,"₦150,000,000.00","₦80,000,000.00",Approved by MG,,03/02/26,25/02/26,150000000.0,80000000.0,MG,70000000.0,73,60+ days
275,CIC/AD. 1081 (2026),E-PROCUREMENT,Procurement Unit -: 004/04002/01/706/11009/0000/40531,Procurement,REQUEST FOR FUNDS FOR THE PROCUREMENT ACTIVITIES FOR THE FIRST HALF OF THE YEAR 2026,"₦5,000,000.00","₦5,000,000.00",Approved by DG,,03/02/26,06/03/26,5000000.0,5000000.0,DG,0.0,73,60+ days
23,CIC/AD. 1060 IV,INTERNATIONAL COOPERATIVE DAY 2026,Upkeep and Maintenance Allowance -: 004/04002/01/775/11009/0000/40326,Cooperatives,SUBJECT: YEAR 2026 INTERNATIONAL COOPERATIVE DAY CELEBRATION,"₦26,900,000.00","₦26,900,000.00",Approved by MG,,05/02/26,25/02/26,26900000.0,26900000.0,MG,0.0,71,60+ days
57,LASCOPA/263/CE III,LASCOPA CDS COMMUNITY SERVICE,,LASCOPA,REQUEST FOR APPROVAL FOR THE RELEASE OF FUNDS FOR LAGOS STATE CONSUMER PROTECTION AGENCY NATIONAL YOUTH SERVICE CORPS COMMUNITY DEVELOPMENT SERVICE (CDS) PROJECTS,"₦50,000,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,05/02/26,01/01/70,50000000.0,0.0,MG,50000000.0,71,60+ days
64,CCTI/AD/1148,COOPERATIVE AREA OFFICES DIGITAL CONSUMABLE,Upkeep and Maintenance Allowance -: 004/04002/01/775/11009/0000/40326,Cooperatives,REQUEST FOR THE PROCUREMENT OF DIGITAL CONSUMABLES FOR COOPERATIVES AREA OFFICES,"₦1,733,750.00",₦0.00,Awaiting Approval - Mr Governor (MG),,05/02/26,01/01/70,1733750.0,0.0,MG,1733750.0,71,60+ days
131,MCIC/ACCTS/1015/V,FINANCE & ACCOUNTS,Account Unit Expenses -: 004/04002/01/703/11009/0000/40796,Accounts,APPROVAL OF FUNDS FOR OFFICE CONSUMABLES FOR FINANCE AND ACCOUNTS DEPARTMENT,"₦5,988,000.00","₦5,988,000.00",Approved by DG,,05/02/26,20/02/26,5988000.0,5988000.0,DG,0.0,71,60+ days
176,CCTI/AD/1187    (2026),COOPERATIVE STAFF TRAINING AND CONFERENCES,Technical Training on Industry Safety -: 004/04002/01/777/11009/0000/41925,Cooperatives,REQUEST FOR RELEASE OF FUNDS FOR TECHNICAL TRAINING FOR COOPERATIVE STAFF,"₦5,000,000.00",₦0.00,Awaiting Approval - MEBP,,05/02/26,01/01/70,5000000.0,0.0,MEBP,5000000.0,71,60+ days
